APR,MAY,JUN,AVR,LAT,LONG
3.4,1.7,1,2.033333333,36.47,-116.87
1.8,1.6,0.4,1.266666667,33.63,-116.17
2,0.8,0.1,0.966666667,32.96,-115.55
2.5,0.2,0,0.9,32.83,-115.57
3,0,1,1.333333333,33.28,-115.51
3,0.4,0,1.133333333,32.82,-115.67
1,1,0,0.666666667,32.76,-115.56
2.2,1.3,0.2,1.233333333,33.74,-116.27
32.1,7.6,2.2,13.96666667,34.42,-119.69
30.1,2,1.1,11.06666667,34.43,-119.83
22.5,4.3,1.3,9.366666667,33.61,-117.89
3,1,0,1.333333333,33.7,-116.3
17.6,1.9,0.7,6.733333333,34.12,-119.12
28,6,2,12,37.51,-122.03
26,26,5,19,37.78,-122.31
31,7,3,13.66666667,38,-121.31
45.2,5,2.1,17.43333333,38.07,-122.52
35,5,3,14.33333333,37.61,-122.38
33.9,9.1,3.1,15.36666667,37.8,-122.4
18.1,3.1,1.9,7.7,32.57,-117.12
86,36.7,13.9,45.53333333,40.5,-124.1
27.6,3.8,1,10.8,33.8,-118.05
27,5,2,11.33333333,37.45,-122.13
38,7,4,16.33333333,38.23,-122.63
30,6,3,13,38.51,-121.5
31.7,9.6,4,15.1,38.6,-121.4
141,86,34,87,41.51,-124.03
18,3,3,8,32.73,-117.16
33,6,2,13.66666667,37.48,-122.23
27.6,8.5,2.7,12.93333333,38,-121.8
40.6,13.2,4.8,19.53333333,38.27,-122.66
34,7,4,15,37.76,-122.5
24,6,3,11,33.55,-117.78
29.5,8.6,2.3,13.46666667,37.9,-121.25
41.7,17.7,5,21.46666667,38.29,-122.27
19.2,3.9,1.5,8.2,32.7,-117.2
10,3,1,4.666666667,33.81,-118.15
26.2,4.4,0.7,10.43333333,33.9,-118.4
25.5,7.2,1.7,11.46666667,37.42,-122.05
33.8,12.7,3.5,16.66666667,38.12,-121.29
33,8,3,14.66666667,38.26,-122.03
36,2,0,12.66666667,34.2,-119.2
27.6,4.9,1,11.16666667,34.3,-119.3
35,9,6,16.66666667,38.91,-121.55
73.8,42.7,16.3,44.26666667,40.8,-124.17
10,7,5,7.333333333,32.55,-117.05
139,97,41,92.33333333,41.86,-124.15
22,8,6,12,39.2,-122.01
29.6,6.4,1.7,12.56666667,37.7,-121
19,3,1,7.666666667,34.01,-118.4
27.2,6.8,2,12,36.7,-121.7
39,6,3,16,37.93,-122.35
73,22,7,34,38.95,-123.73
41.5,16.1,6.5,21.36666667,39.16,-121.6
117,75,34,75.33333333,41.78,-124.23
16.6,2.5,1.1,6.733333333,33.7,-117.83
25,7,2,11.33333333,33.82,-118.15
33,6,3,14,36.6,-121.68
22,7,3,10.66666667,37.98,-121.73
33.3,7.9,1.9,14.36666667,38.27,-121.93
29.3,11.8,4.2,15.1,38.54,-121.77
20,6,4,10,37.8,-121.58
78.3,18.5,7,34.6,38,-122.5
38,10,5,17.66666667,39.1,-121.56
71,29,6,35.33333333,39.4,-123.81
36,1.7,0.3,12.66666667,34.22,-119.08
30,5,1,12,37.35,-121.9
29.7,6.7,1.6,12.66666667,37.4,-121.9
31,8,4,14.33333333,38.68,-121.8
33,6,4,14.33333333,37.76,-122.43
34,6,1,13.66666667,35.13,-120.63
48.1,16.5,1.8,22.13333333,38.67,-121.4
27,4,2,11,36.66,-121.6
31,7,3,13.66666667,38.58,-121.5
25,5.1,1.1,10.4,37.3,-121
29.1,6.1,1.3,12.16666667,37.4,-121.8
47.2,8,2.9,19.36666667,36.9,-121.8
31,7,2,13.33333333,37.65,-121
40,11,4,18.33333333,38.23,-121.2
29,5,1,11.66666667,34.65,-120.45
48,5,3,18.66666667,36.93,-121.76
41,10,4,18.33333333,38.3,-122.46
38,7,3,16,38.36,-121.95
22.3,1.3,1.6,8.4,33.93,-118.4
64.3,23.1,6.4,31.26666667,38.62,-122.87
22,5,1,9.333333333,33.8,-118.33
25,4,1,10,33.93,-118.15
38.2,14.1,3,18.43333333,38.41,-121.95
59,17,6,27.33333333,38.51,-123.25
35,6,1,14,35.36,-120.85
20.8,5.1,1.1,9,37.1,-120.8
27,6,1,11.33333333,37.48,-120.85
3,1,0,1.333333333,33,-115.5
25.8,5.7,1.8,11.1,33.74,-117.79
19,4,1,8,37.05,-120.86
152,96,38,95.33333333,41.8,-124.08
51.8,13.1,5.3,23.4,39.13,-121.43
73,11,7,30.33333333,37.95,-122.55
56.1,17.1,5.1,26.1,36.99,-122.02
46.4,14.2,3.7,21.43333333,38.57,-121.3
21,4,2,9,33.75,-117.86
30,7,4,13.66666667,38.53,-121.96
32.7,6.9,1.9,13.83333333,37.6,-120.8
20,7,2,9.666666667,37.7,-121.41
28.4,11,2.2,13.86666667,37.29,-120.52
124,70,29,74.33333333,41.36,-124.01
31.2,9,1.7,13.96666667,36.6,-121.87
50.8,19.1,6.5,25.46666667,38.46,-122.7
6.5,1.3,0.8,2.866666667,33.02,-118.58
2,1,0,1,33.56,-116.06
48.1,22.1,12.4,27.53333333,39.71,-121.82
68.4,13.8,6.3,29.5,38.4,-122.9
38,6,3,15.66666667,37,-121.56
1.7,0.5,0.1,0.766666667,32.7,-115.5
37.7,7.4,1.9,15.66666667,37.38,-120.57
17,4,1,7.333333333,36.1,-119.56
60,8,5,24.33333333,38.43,-122.86
21.3,6,1.5,9.6,36,-119.5
21,4,1,8.666666667,36.43,-121.31
42,9,1,17.33333333,35.23,-120.63
20,5,2,9,33.8,-118.38
59,15,9,27.66666667,37.9,-122.56
49.5,10.4,2.9,20.93333333,37.9,-120.9
66,14,4,28,38.71,-123
28.6,16.1,8.3,17.66666667,39.52,-122.3
83,12,5,33.33333333,36.25,-121.78
48.6,13.1,5.5,22.4,38.8,-121.3
16,5.5,1.9,7.8,36.33,-119.95
27,4,1,10.66666667,34.35,-119.06
18.8,6.4,1.6,8.933333333,36.3,-119.66
35,6,1,14,34.58,-120.4
34.8,9.9,1.6,15.43333333,37.2,-120.3
53.7,12.7,5,23.8,38.5,-122.5
31.9,19.6,10.2,20.56666667,39.76,-122.2
136.9,53.2,11.6,67.23333333,40.3,-124.2
3.6,1.2,0.9,1.9,33.62,-114.6
13,10,1,8,34.05,-118.23
28.3,5.1,0.8,11.4,34.9,-120.45
13,4,2,6.333333333,35.4,-119.46
29,7,1,12.33333333,36.95,-120.03
31.1,8.6,1.6,13.76666667,37,-120
33,20,10,21,40.18,-122.2
18,6,2,8.666666667,37.05,-121.06
55,15,7,25.66666667,37.3,-122.36
31.3,6.5,1.6,13.13333333,36.8,-121.4
15,5,1,7,36.21,-119.98
13,4,4,7,36.35,-120.15
28,8,4,13.33333333,38.76,-122.15
86,17.8,4.7,36.16666667,36.3,-121.8
46.9,15.3,4.2,22.13333333,37.87,-122.27
46,15,5.5,22.16666667,38.7,-121.2
3.7,0.5,0.6,1.6,33.8,-116.5
35.4,10,2.7,16.03333333,37,-119.7
45.2,10.7,1.9,19.26666667,35.3,-120.67
21,6,2,9.666666667,35.78,-119.25
21,4,1,8.666666667,36.2,-121.13
65,15,5,28.33333333,38.76,-122.98
26.1,8,1.6,11.9,36.3,-119.3
31.6,10.1,2.4,14.7,36.6,-119.3
25.6,9,4.1,12.9,36.79,-119.72
25,5,1,10.33333333,33.96,-118.03
92,37,10,46.33333333,40.1,-123.8
17.2,6,2.7,8.633333333,35.61,-119.34
35.5,22.2,11.6,23.1,40.2,-122.3
33,20,10,21,40.15,-122.25
47.6,8.5,1.6,19.23333333,37.2,-122
41,4,1,15.33333333,37.23,-121.96
58,14,5,25.66666667,38.56,-122.58
28.3,4.3,1.5,11.36666667,33.67,-117.73
34.7,3.2,1.6,13.16666667,34.72,-120.57
28.2,6.8,1.2,12.06666667,33.9,-117.8
163,96,36,98.33333333,41.86,-123.96
2.4,0.3,0.1,0.933333333,33.62,-114.72
29.4,10.1,1.3,13.6,36.1,-119
48,10,4,20.66666667,37.76,-122.16
28,7,2,12.33333333,37.7,-121.81
4.5,1.7,0.4,2.2,34.22,-114.22
81.6,53.1,18.2,50.96666667,41.3,-123.54
27,8,2,12.33333333,36.2,-119.05
52,34,13,33,40.4,-122.13
5,2,1,2.666666667,34.2,-114.3
25,6,1,10.66666667,34.06,-118.45
28,9,2,13,36.03,-119.06
47,10,4,20.33333333,37.58,-120.26
31,6,2,13,34.1,-118.1
25.4,4.7,1.4,10.5,32.87,-117.13
28.6,11.2,2.8,14.2,37.67,-121.77
33,15,9,19,39.9,-122.35
28,8,2,12.66666667,32.95,-117.03
28,7,1,12,34,-117.86
15.1,4.8,1.6,7.166666667,35.42,-119.05
112,43,10,55,40.03,-123.78
65.7,41,21.9,42.86666667,40.51,-122.3
27,6,3,12,33.23,-117.23
15,4,1,6.666666667,36.06,-120.08
33.5,13.1,4,16.86666667,36.39,-119.04
27,8,2,12.33333333,32.76,-117.01
33,6,1,13.33333333,34.75,-120.28
35.8,7,0.9,14.56666667,34.8,-120.3
81.4,27.6,9.8,39.6,39.3,-121.2
34,8,1,14.33333333,34.08,-117.86
37,7,1,15,34.98,-120.31
69,20,8,32.33333333,39.23,-121.26
33,11,4,16,32.88,-116.81
41,7,2,16.66666667,36.43,-121.7
13,23,31,22.33333333,33.88,-117.55
46,12,3,20.33333333,36.81,-119.33
60.5,27.4,7.7,31.86666667,39.16,-123.2
31.9,10.9,2.1,14.96666667,33.1,-117.1
51,12,4,22.33333333,38.25,-120.85
15,5,1,7,36.15,-120.35
16.6,4.5,0.9,7.333333333,35.1,-119.4
27.7,6.6,0.8,11.7,35.64,-120.69
69.5,25.3,8.3,34.36666667,38.34,-120.67
27,6,1,11.33333333,34.4,-118.75
6,2,1,3,34.28,-114.16
27,4,1,10.66666667,35.4,-120.35
39.2,2.5,1.3,14.33333333,34.2,-118.37
38,5,1,14.66666667,34.08,-118.6
40,13,4,19,34.15,-117.9
38,10,1,16.33333333,34.5,-119.3
39.6,10.9,1.6,17.36666667,34.46,-119.24
42,15,10,22.33333333,39.88,-122.53
37,5,1,14.33333333,34.58,-119.98
26,5,1,10.66666667,34.18,-118.56
25.3,1.8,0.5,9.2,35.67,-120.63
28,5,0,11,34.21,-118.48
28,12,9,16.33333333,39.58,-122.53
6,2,1,3,33.25,-116.4
40,11,3,18,34.13,-117.86
19,4,1,8,33.95,-117.38
110,47,11,56,39.88,-123.73
33.8,4.4,0.9,13.03333333,34.1,-117.8
16,4,1,7,36.88,-120.93
38.5,10.2,4.2,17.63333333,34.16,-118.16
6.1,2.4,0.8,3.1,34.77,-114.62
4,2,1,2.333333333,34.13,-115.13
39.3,5.3,0.9,15.16666667,34.3,-118.5
29,5,1,11.66666667,34.25,-118.6
31,5,2,12.66666667,36.73,-121.36
82,24,7,37.66666667,38.41,-122.96
29,8,2,13,35.46,-118.78
2,1,2,1.666666667,33.8,-115.45
21,5,1,9,33.96,-117.35
69,27,4,33.33333333,39.36,-123.13
43,7,1,17,34.55,-119.78
107,52,18,59,40.71,-122.41
50.2,24.8,10.4,28.46666667,38.5,-120.8
27,6,1,11.33333333,34.08,-117.51
57,9,2,22.66666667,35.36,-120.63
36,10.7,1.6,16.1,34.1,-117.25
74.5,41.5,18.3,44.76666667,41.8,-123.37
70,17,5,30.66666667,38.75,-122.61
60,18,7,28.33333333,36.46,-118.86
28,8,7,14.33333333,39.38,-122.55
32.1,11.3,1.7,15.03333333,34.1,-117.3
35.2,10,1.2,15.46666667,34.1,-117.7
4,3,1,2.666666667,33.65,-116.38
29,9,7.1,15.03333333,39.4,-122.5
30,6,1,12.33333333,34.38,-118.53
42,7,1,16.66666667,35.33,-120.5
49,26,11,28.66666667,40.75,-123.25
17,5,1,7.666666667,33.66,-117.33
106,50,18,58,40.61,-122.53
35,7,2,14.66666667,36.48,-121.18
46,11,4,20.33333333,39.03,-122.91
26.6,10.5,2.6,13.23333333,34.05,-117.19
15,5,1,7,36.6,-120.86
38,13,4,18.33333333,38.9,-122.6
76,28,6,36.66666667,39.41,-123.33
73.3,24.4,7.7,35.13333333,38.9,-121.1
3,2,0,1.666666667,33.7,-115.63
35,14,2,17,35,-118.8
32.7,12.3,3,16,35.04,-118.75
59,25,6,30,39.78,-123.25
26,6,1,11,34.48,-118.53
136,64,23,74.33333333,40.98,-121.98
53,14,2,23,34.2,-117.86
39,10,2,17,34.33,-118.4
26.2,3.4,0.4,10,33.9,-117.25
75,21,5,33.66666667,39.18,-123.03
44,6,1,17,34.51,-119.68
26.6,9.2,1.3,12.36666667,33.8,-117
46,10,3,19.66666667,34.21,-118.25
36.9,1.8,3.4,14.03333333,33.4,-118.42
31,6,2,13,34.08,-118.88
77,13,6,32,37.13,-121.95
40.1,13.4,1.8,18.43333333,32.7,-116.7
91.1,38.3,11.7,47.03333333,39.4,-121.2
24,7,2,11,33.75,-116.95
4,3,3,3.333333333,35.76,-117.38
67,19,6,30.66666667,36.48,-118.83
74,22,7,34.33333333,36.91,-119.08
35,12,4,17,32.83,-116.76
73,22.4,6.6,34,38,-120.4
97,30,13,46.66666667,39.75,-121.61
128,52,21,67,39.91,-121.33
48,10,3,20.33333333,36.35,-121.5
62,15,6,27.66666667,38.56,-122.43
69,35,16,40,40.33,-121.9
84.3,29.7,9.1,41.03333333,38.7,-120.8
84,26,6,38.66666667,39.13,-123.26
4.5,1.9,1.4,2.6,34.87,-116.78
19,5,1,8.333333333,33.86,-116.68
44,14,4,20.66666667,34.18,-117.45
80.2,23.5,6.9,36.86666667,37.5,-120
126,61,16,67.66666667,40.53,-123.81
57.4,33.6,16.7,35.9,40.74,-122.94
3,3,0,2,34.3,-116.16
47,8,1,18.66666667,34.48,-119.5
115,60,26,67,40.8,-121.93
37,10,2,16.33333333,34.58,-118.45
67,16,7,30,37.31,-122.16
57,18,4,26.33333333,37.08,-119.5
76,38,13,42.33333333,40.8,-123.46
83,25,7,38.33333333,38.53,-120.7
41,11,4,18.66666667,37.86,-121.93
58,33,19,36.66666667,41.3,-123.13
2.7,0.4,0.6,1.233333333,35.68,-117.68
70,39,20,43,40.46,-121.86
40,8,2,16.66666667,36.18,-120.7
53,12,1,22,34.3,-118.18
8.8,0.9,0.4,3.366666667,34.9,-117.87
9.4,3.4,1.4,4.733333333,34.73,-118.22
43,21,14,26,40.55,-123.16
103,30,10,47.66666667,38.45,-120.48
37,8,2,15.66666667,34.31,-118.55
93,41.9,15.9,50.26666667,39.11,-120.95
5,2,1,2.666666667,35.66,-117.83
13.2,3.5,1.1,5.933333333,34.6,-118.1
8.8,1.4,0.8,3.666666667,34.63,-118.08
110.7,42.2,11.9,54.93333333,39.3,-121
125,41,15,60.33333333,39.48,-121.21
42.3,18.1,4.9,21.76666667,33.9,-117
38,17,6,20.33333333,33.93,-116.96
25.6,24.4,24.8,24.93333333,41.72,-122.64
28,7,2,12.33333333,32.63,-116.46
31.4,9.5,1.4,14.1,32.6,-116.5
94,42,12,49.33333333,40.45,-123.53
121.2,60.8,11,64.33333333,39.2,-121
51,15,2,22.66666667,33.23,-116.76
80.4,27.8,8.2,38.8,37.2,-119.5
126.5,46.7,20.9,64.7,39.9,-121.6
22,6,3,10.33333333,35.78,-118.43
34,30,21,28.33333333,41.98,-122.33
28,18,16,20.66666667,41.6,-122.85
64,18,1,27.66666667,34.23,-117.48
20,6,2,9.333333333,35.71,-118.45
53,20,12,28.33333333,40.36,-122.96
64.6,25.2,2.7,30.83333333,34.1,-117.1
108,31,12,50.33333333,39.25,-121.03
8,3,1,4,35.06,-118.15
29,21,12,20.66666667,41.55,-122.9
6.2,2.8,0.3,3.1,34.58,-117.38
9,5,1,5,34.53,-117.3
48,37,21,35.33333333,41,-121.5
119,57,21,65.66666667,39.56,-120.83
59.6,21.8,2.9,28.1,34.1,-117
19,6,1,8.666666667,34.5,-118.26
56,36,19,37,41.13,-123.13
95.8,26.4,9.8,44,37.8,-120.1
111,31,12,51.33333333,38.91,-120.78
99,35,11,48.33333333,39.01,-120.85
33,32,20,28.33333333,40.93,-121.55
98,36,12,48.66666667,39.08,-120.83
13,6,2,7,34.58,-117.18
30.4,9.9,1.6,13.96666667,34.71,-118.44
16,5,2,7.666666667,34.48,-118.13
47,15,4,22,35.71,-118.7
49,32,20,33.66666667,40.88,-121.66
36,9.7,1.7,15.8,33.3,-116.6
35,22,20,25.66666667,41.31,-122.8
89,48.9,22.8,53.56666667,41.3,-122.1
87,42,20,49.66666667,41.25,-122.13
106,41,15,54,39.15,-120.86
68,29,20,39,39.91,-120.95
72.4,39.4,19.2,43.66666667,39.97,-120.95
112,42,15,56.33333333,38.75,-120.5
53,17,3,24.33333333,32.85,-116.61
123.1,55.4,18.3,65.6,39.5,-121.1
70,68,23,53.66666667,39.9,-121.5
92,53,23,56,40.5,-121.85
64,35,20,39.66666667,40.13,-120.93
9,2,1,4,35.36,-117.65
27,10,1,12.66666667,34.83,-118.86
51,41,22,38,41.43,-122.38
69.9,46.1,25.1,47.03333333,41.32,-122.32
101,42,18,53.66666667,38.5,-120.21
125,68,29,74,40.86,-121.85
8,7,3,6,36.13,-117.95
87,34,20,47,37.95,-119.78
25,11,2,12.66666667,33.55,-116.66
6.5,4.4,3.4,4.766666667,36.8,-118.2
72,32,15,39.66666667,37.75,-119.58
22,10,3,11.66666667,35.13,-118.45
21,23,22,22,41.96,-121.46
8,6.8,3.4,6.066666667,37.37,-118.37
15.4,19.5,15,16.63333333,40.39,-120.57
31,37,23,30.33333333,41.2,-120.95
49,14,4,22.33333333,37.33,-121.65
118,66,25,69.66666667,39.56,-120.63
15,21,14,16.66666667,40.03,-120.1
19,24,24,22.33333333,41.78,-122.03
31,30,20,27,41.45,-120.86
15,8,3,8.666666667,34.93,-115.53
24,29,21,24.66666667,39.96,-120.08
27,29,23,26.33333333,41.5,-120.55
127,56,20,67.66666667,39.3,-120.83
33,28,22,27.66666667,41.85,-120.13
81,32,12,41.66666667,37.88,-119.85
26.4,5.2,1,10.86666667,34.75,-118.73
51.6,31.8,22.4,35.26666667,40.3,-121.2
66.7,37,18.4,40.7,40.2,-121.1
66,31,19,38.66666667,40.16,-121.08
75.5,30.8,5.4,37.23333333,32.99,-116.59
27.2,28.3,21.1,25.53333333,41.54,-120.17
118,38,14,56.66666667,38.28,-120.31
11,7,6,8,35.46,-115.53
98,33,18,49.66666667,37.96,-119.91
26,33,26,28.33333333,41.73,-121.51
31,25,18,24.66666667,39.8,-120.46
98,53,33,61.33333333,40.35,-121.6
19,23,17,19.66666667,39.81,-120.18
70,20,9,33,35.8,-118.63
36,26,16,26,39.58,-120.36
39.1,29.7,14.1,27.63333333,39.6,-120.4
94,36,17,49,37.5,-119.63
142.5,84.4,28.7,85.2,39.32,-120.64
83,29,2,38,34.25,-117.18
14,11,8,11,37.36,-117.98
137.2,64.8,21.6,74.53333333,39.28,-120.7
19,28,24,23.66666667,40.86,-120.43
48,52,36,45.33333333,41.26,-120.3
116,64,27,69,39.45,-120.65
71,19,3,31,34.31,-117.85
51,19,3,24.33333333,33.75,-116.71
9,11,12,10.66666667,37.85,-118.48
56,14,3,24.33333333,33.35,-116.86
34,24,20,26,39.38,-120.1
71,16,3,30,34.23,-118.06
26,21,16,21,38.78,-119.8
83,61,38,60.66666667,40.53,-121.56
69,32,24,41.66666667,39.31,-120.23
54,29,20,34.33333333,39.33,-120.18
53.2,33,19.3,35.16666667,39.17,-120.14
52,32,21,35,39.43,-120.23
12,15,17,14.66666667,38.25,-119.23
94,30,9,44.33333333,36.73,-118.96
39,15,3,19,34.25,-116.88
51,16,3,23.33333333,34.38,-117.68
84,32,9,41.66666667,37.23,-119.21
104,52,29,61.66666667,38.7,-120.03
21,15,11,15.66666667,37.25,-118.58
41,19,15,25,37.75,-119.13
33,16,10,19.66666667,37.21,-118.61
40,23,16,26.33333333,37.93,-119.23
